rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
26,43,23,18,32,46,14,50,20,23,21,149,27,8,14,40,9,12,8,583,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,California,35
16,15,10,12,17,46,34,27,11,23,11,29,13,5,10,12,7,10,5,313,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,MN,32
19,30,11,73,16,48,9,50,30,25,17,56,13,6,8,12,6,12,10,451,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,Michigan,25
37,21,17,24,28,73,24,97,30,47,25,63,25,11,18,34,16,15,51,656,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,17,Male,No,Lakeland FL,50
25,56,20,15,26,82,15,113,80,32,15,53,15,5,13,18,7,28,7,625,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,16,Male,Yes,Texas,27
21,20,90,9,13,128,15,74,17,36,31,115,18,6,13,15,14,84,7,726,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,No,Texas,35
20,36,14,13,26,49,28,46,31,34,16,66,19,6,11,31,17,22,10,495,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,15,Female,No,North Carolina,48
72,34,22,27,23,144,25,83,44,60,32,102,18,21,29,23,17,18,13,807,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,15,Female,No,Illinois,50
19,26,8,12,21,34,11,27,15,15,11,28,8,3,8,13,7,8,5,279,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,Female,Yes,"SC,  US",29
54,22,10,16,28,105,23,63,17,84,19,39,14,7,10,14,14,12,11,562,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Female,Yes,New York,26
37,23,10,14,55,78,14,47,22,35,12,64,18,6,11,18,8,11,7,490,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Female,Yes,California,25
19,17,15,10,16,30,12,28,11,25,12,26,10,3,6,38,6,7,4,295,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,16,Male,Yes,"Tampa, FL",24
61,35,16,14,25,105,22,63,15,28,19,46,15,9,11,23,11,22,12,552,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,Florida,30
11,7,6,7,7,24,16,8,7,5,8,9,26,9,21,20,26,18,11,246,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,8,Male,Yes,Texas,29
39,41,15,12,34,56,27,46,14,19,18,59,11,6,15,35,8,15,8,478,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Female,Yes,Washington State,32
12,21,11,6,10,30,8,52,18,13,12,29,7,53,12,65,4,11,4,378,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Male,Yes,Santa Clara,21
20,22,12,9,17,38,18,24,11,18,9,21,11,5,7,10,7,8,6,273,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,boston massachusetts,60
78,23,16,8,18,25,16,38,11,36,14,39,8,5,9,15,6,11,7,383,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18,Male,Yes,florida,33
178,18,32,40,18,134,17,130,26,48,44,160,21,6,11,37,13,13,6,952,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,"Cincinnati, Ohio",72
15,16,11,12,16,22,10,23,21,23,12,30,17,4,12,13,7,10,6,280,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,12,Female,No,Ohio,37
44,36,10,34,26,64,10,67,25,35,16,92,9,5,13,23,10,11,6,536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,Yes,NY,25
20,38,9,18,20,51,13,48,19,28,15,56,9,12,11,28,9,15,8,427,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,"los angeles, ca",46
41,39,9,11,15,128,19,90,19,129,14,60,10,4,9,22,7,11,6,643,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,florida,47
53,23,13,22,17,42,37,70,21,48,16,34,10,5,7,15,7,24,7,471,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,16,Female,Yes,WI,43
25,30,37,25,29,57,44,66,202,38,44,46,17,24,49,50,26,29,38,876,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,14,Female,Yes,TN,35
41,39,16,15,40,133,19,37,18,31,16,61,10,5,11,12,13,11,7,535,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,Ohio,38
24,93,9,13,50,62,51,64,13,244,13,144,77,5,11,33,10,11,8,935,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,WA State,36
28,42,13,15,30,202,16,47,17,46,12,57,10,5,16,66,9,6,9,646,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,15,Male,Yes,NH,31
129,31,12,14,24,69,14,45,24,42,32,79,11,6,14,29,18,73,6,672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Nebraska,46
37,29,11,12,32,48,15,70,16,30,14,74,20,7,22,39,15,14,9,514,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,15,Female,No,Michigan,35
36,27,23,19,24,58,12,97,21,24,21,70,19,6,11,22,6,15,26,537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Missouri,34
32,27,22,19,41,78,56,65,15,47,16,52,21,10,17,76,12,20,15,641,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,18,Female,No,Alabama,59
24,36,12,15,24,43,12,46,13,18,12,41,10,7,10,15,7,8,6,359,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,Florida,40
26,29,16,16,28,44,12,49,30,21,15,33,11,13,11,16,7,14,8,399,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,15,Female,Yes,"Atlanta, GA",32
38,50,19,20,22,80,15,79,35,42,22,58,14,5,12,21,15,12,8,567,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,NEW YORK,49
35,31,9,10,16,45,12,47,16,41,14,35,11,6,18,26,8,12,8,400,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,17,Male,Yes,"NC, USA",28
26,66,14,18,21,65,13,49,16,43,21,57,21,8,11,68,13,12,13,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,Indiana,53
104,34,24,25,39,84,68,88,46,46,54,63,70,14,35,52,24,32,72,974,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,17,Female,No,"Illinois, USA",62
38,25,14,14,19,43,12,45,23,23,20,60,15,11,20,22,11,15,46,476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,"Buenos Aires, Argentina",53
27,22,10,27,16,63,21,63,17,24,27,79,39,4,9,38,8,26,6,526,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,17,Male,Yes,Texas,21
14,15,9,8,20,56,23,23,14,14,11,27,11,5,7,20,5,8,55,345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,indiana,34
21,49,11,12,22,57,14,33,17,38,22,68,20,14,9,24,8,24,10,473,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,17,Male,No,"Maryland, USA",32
22,9,9,14,17,9,15,4,14,23,8,25,29,23,7,6,7,10,5,256,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,15,Female,No,Indiana,41
59,38,14,43,35,81,16,68,63,64,70,38,16,42,39,66,31,27,31,841,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,Florida,20
33,25,13,17,58,76,14,70,19,28,33,94,14,7,27,137,16,20,10,711,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,Ohio,41
21,37,19,19,23,71,23,66,17,29,26,46,13,5,10,25,12,16,7,485,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,16,Female,Yes,Ohio,34
28,20,28,12,20,50,13,39,121,18,38,67,12,33,19,17,7,32,15,589,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Kentucky,36
7,7,12,8,8,8,7,36,8,10,18,25,8,17,9,11,9,10,9,227,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,15,Female,No,"US, NY",48
53,56,30,19,26,69,25,87,51,24,23,62,40,10,16,31,24,15,14,675,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,15,Female,No,sc,65
21,24,15,23,30,65,16,29,20,18,8,48,12,6,13,10,12,9,13,392,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,11,Female,Yes,usa,31
23,116,24,19,18,62,36,60,25,29,28,104,22,8,16,45,8,14,9,666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Maryland,39
19,32,19,15,15,47,12,49,16,23,21,30,21,10,12,18,10,19,12,400,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,17,Female,No,New York,50
16,34,8,10,19,268,33,47,14,19,20,49,10,6,18,23,12,22,7,635,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,New York,31
21,24,7,10,16,25,17,49,11,22,13,34,15,5,11,12,7,10,5,314,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,Georgia,32
29,29,11,10,14,53,10,44,19,22,12,47,11,5,8,16,11,10,8,369,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,Delaware,36
55,48,26,14,29,63,28,96,26,41,20,62,25,7,13,124,15,37,7,736,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18,Female,No,"Iowa, United States",54
45,45,32,114,34,72,15,90,37,38,28,61,21,9,13,92,14,63,12,835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,Massachusetts,43
23,22,9,10,13,47,7,41,12,20,11,34,9,6,20,18,5,13,7,327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,Indiana,48
12,249,217,11,12,67,68,21,9,28,12,81,10,3,8,13,7,7,5,840,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,14,Male,No,NEW CASTLE,46
38,21,49,37,12,44,19,43,22,53,15,45,19,27,13,23,12,17,44,553,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Male,Yes,Georgia,23
37,51,22,12,27,68,35,107,27,64,22,73,20,10,53,41,11,14,9,703,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,16,Female,No,louisville ky,57
26,19,11,14,19,62,20,34,16,64,15,44,16,8,10,19,9,10,8,424,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15,Female,No,PA,28
29,74,11,36,90,91,17,65,19,21,13,100,43,6,9,80,23,9,7,743,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,17,Female,No,"NY, USA",54
36,38,15,12,37,53,19,84,22,46,16,55,12,5,8,15,5,12,6,496,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Pennsylvania,21
36,28,11,14,21,59,16,48,21,26,18,47,16,8,62,27,9,14,9,490,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,New Hampshire,44
25,18,18,20,15,66,14,66,25,32,13,42,12,7,8,26,7,15,5,434,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,17,Male,Yes,SOUTH CAROLINA,34
17,19,8,6,21,42,10,31,10,15,12,37,8,5,23,9,5,21,6,305,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,"Oregon, USA",29
30,27,19,21,31,84,94,58,138,109,35,45,25,13,19,20,19,14,23,824,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,15,Female,Yes,New Jersey,48
34,24,13,18,20,51,13,38,15,27,20,48,18,8,11,22,9,12,27,428,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Male,No,California,50
18,28,9,12,11,42,8,72,19,23,13,38,16,4,7,19,9,18,10,376,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,18,Male,Yes,Michigan,34
62,22,19,25,21,79,16,47,38,38,16,67,13,7,11,23,12,19,7,542,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,17,Female,No,"Henderson, NV",47
20,23,10,33,24,30,23,38,10,21,12,28,9,6,8,18,11,15,9,348,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,Arizona,27
4,4,6,6,4,4,8,31,7,13,5,3,9,4,6,6,5,5,11,141,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,10,Male,Yes,TX,27
27,28,8,8,14,33,12,41,11,18,13,64,11,5,11,12,15,14,6,351,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,California,45
10,16,83,8,13,304,13,390,98,18,3,23,195,4,15,171,7,7,5,1383,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,11,Male,Yes,Colorado,23
34,20,9,20,17,67,15,46,20,34,13,36,9,3,10,13,8,10,6,390,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,Oklahoma,23
11,17,8,7,12,33,7,50,11,18,8,28,8,4,12,19,6,10,4,273,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,17,Female,Yes,Georgia,25
41,18,14,26,19,44,14,40,24,17,13,24,12,7,9,18,8,17,6,371,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,16,Female,No,NORTH CAROLINA,28
46,31,39,16,56,122,32,41,15,19,81,38,47,11,19,26,13,12,16,680,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,12,Female,Yes,Philippines,31
29,14,7,31,22,14,13,19,148,19,29,32,8,5,12,9,9,9,4,433,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,13,Female,Yes,Georgia,26
28,16,11,14,14,107,12,103,9,50,15,101,10,6,8,21,7,8,6,546,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,Yes,Louisiana,31
12,18,12,10,14,42,8,29,34,33,15,32,12,6,8,11,6,10,5,317,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15,Female,Yes,michigan,30
17,26,10,10,16,54,11,51,16,22,15,52,9,6,7,17,6,22,6,373,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,North Carolina,31
17,22,9,11,19,48,11,61,9,32,14,56,9,6,8,23,7,8,6,376,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16,Female,Yes,Ohio,29
42,31,31,28,35,65,25,147,39,60,40,93,24,13,18,32,21,23,11,778,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,14,Female,Yes,TX,27
52,27,14,14,20,78,24,59,54,41,18,32,30,35,15,26,10,10,7,566,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,18,Female,No,"Pennsylvania, USA",54
59,142,15,53,44,71,17,71,15,31,23,201,248,8,14,91,91,19,13,1226,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,17,Female,No,Michigan,67
19,30,11,11,18,62,10,34,24,29,13,39,16,6,8,12,8,11,8,369,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,Virginia,48
22,15,12,10,12,37,14,66,14,34,16,46,9,5,12,17,10,16,7,374,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,17,Female,Yes,Carson City,30
25,25,9,17,18,47,12,33,22,16,12,32,9,5,8,16,7,11,17,341,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,Illinois,26
17,13,19,13,16,29,10,23,12,16,20,37,10,5,10,11,12,11,6,290,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,15,Female,No,Canada,50
24,23,14,75,48,61,14,48,14,33,14,81,9,5,12,39,7,61,14,596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,No,North Carolina,36
19,17,21,11,18,62,12,55,16,18,30,45,13,6,10,29,12,14,7,415,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,18,Female,No,Massachusettes,34
3,3,9,25,11,7,6,11,4,2,3,13,4,2,3,2,3,2,7,120,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Male,Yes,California,35
30,30,14,61,31,72,11,89,48,53,19,57,21,6,10,35,10,14,11,622,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,12,Female,No,North Carolina,36
43,29,12,23,18,56,20,45,19,29,15,33,9,9,11,21,10,15,7,424,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,16,Female,Yes,"California, USA",31
10,10,7,5,10,19,9,13,19,18,28,8,6,4,6,6,7,6,6,197,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,12,Male,Yes,OKlahoma,29
26,39,11,12,22,52,17,57,21,30,29,58,15,8,12,23,12,12,9,465,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,New York,39
19,32,11,11,53,42,11,41,16,20,11,34,9,5,8,14,10,11,6,364,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16,Female,No,texas,46
48,39,21,17,14,44,31,56,21,21,139,47,13,10,11,47,12,57,25,673,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,15,Female,Yes,MN,29
18,18,10,14,17,33,14,35,11,19,12,32,25,4,7,12,8,9,6,304,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,WV,38
59,49,16,17,40,71,23,73,29,47,41,89,31,8,18,37,16,18,8,690,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15,Female,No,Pennsylvania,41
39,26,13,13,25,44,24,103,60,39,16,72,16,9,12,21,13,15,8,568,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,16,Female,No,California,41
19,36,11,13,165,51,97,30,8,16,89,96,9,4,247,24,6,99,15,1035,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,17,Female,Yes,Georgia,22
67,131,17,63,31,78,25,71,62,45,27,170,22,10,32,63,25,37,17,993,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Idaho,50
119,285,40,20,44,125,57,67,18,54,27,56,70,8,11,40,12,44,6,1103,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,13,Female,No,India,28
56,29,18,18,24,68,26,82,15,93,27,27,26,6,10,42,13,19,17,616,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,13,Male,Yes,North Carolina,32
23,14,11,10,12,37,7,58,10,66,16,73,6,5,7,43,10,8,5,421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,Yes,colorado,46
17,10,7,4,8,20,6,55,11,11,8,37,6,3,6,8,11,6,5,239,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,Yes,Missouri,40
29,53,27,37,29,24,19,53,11,13,14,55,15,6,11,18,10,13,8,445,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,15,Female,Yes,Minnesota,25
15,17,9,8,13,48,7,37,11,27,12,37,11,5,12,27,6,9,5,316,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,pennsylvania,31
40,38,20,15,31,88,34,73,38,57,25,50,14,7,29,27,10,46,9,651,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,16,Male,Yes,Virginia,31
27,48,14,17,20,65,33,98,28,30,17,69,22,11,52,35,16,29,15,646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,California,67
17,11,6,10,13,31,8,36,7,17,12,20,7,5,8,8,5,9,6,236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Tennessee,29
18,19,11,8,17,49,9,23,15,27,11,18,8,5,17,25,5,10,4,299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,Male,Yes,Ohio,37
16,13,10,7,16,33,9,28,12,18,11,24,7,4,8,12,6,9,6,249,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,Louisiana,51
43,14,7,10,10,10,12,15,9,16,94,19,6,4,7,9,5,10,40,340,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,17,Female,Yes,SC,37
20,48,12,10,17,71,11,78,14,48,27,152,12,4,22,40,11,28,8,633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,United States,32
16,13,11,6,9,107,110,38,27,19,9,62,5,4,15,10,4,31,3,499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,"Florida, USA",43
37,26,15,12,19,63,9,45,27,61,8,60,10,5,12,20,6,8,5,448,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,18,Male,Yes,New York,27
16,21,12,10,43,44,8,130,17,41,21,63,11,5,12,9,15,24,5,507,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,18,Male,Yes,"Henrico, VA, USA",26
42,26,29,24,27,118,21,57,38,52,26,45,12,10,15,33,8,14,9,606,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,15,Male,Yes,texas,38
19,23,11,12,18,48,12,45,12,18,14,51,16,9,24,16,8,12,14,382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,Female,Yes,Arkansas,43
37,38,13,14,31,50,16,63,16,58,16,62,14,8,10,21,10,21,10,508,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Washington,50
21,29,14,19,22,17,16,41,16,30,20,38,11,6,14,10,11,10,6,351,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,15,Male,Yes,Ohio,30
33,51,7,7,15,58,10,15,16,26,19,49,13,5,11,17,8,8,5,373,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Male,No,"Orange County, California",44
22,26,9,11,31,54,13,68,18,26,383,40,10,6,7,18,8,16,6,772,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,17,Male,Yes,North Carolina,35
10,8,9,14,7,14,36,7,12,22,8,9,6,5,11,7,9,15,7,216,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,10,Male,Yes,New Mexico,27
45,36,25,19,35,98,52,69,58,53,21,73,31,9,16,24,30,58,9,761,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,12,Male,No,ny,30
30,26,14,17,22,44,15,39,17,25,18,68,16,10,16,17,13,14,9,430,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,No,Indiana,34
41,23,20,16,32,83,21,79,13,39,19,37,13,7,11,22,10,14,6,506,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,14,Female,No,California,37
52,25,25,14,25,70,14,58,21,25,129,58,18,8,62,31,7,16,6,664,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Texas,36
25,21,9,8,15,41,11,40,14,22,17,36,11,6,7,28,5,8,4,328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Virginia,24
16,8,11,7,18,7,27,28,14,16,13,16,7,5,6,10,7,9,6,231,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,17,Female,No,California,33
25,21,9,10,17,43,11,42,18,27,21,44,11,6,7,20,8,10,9,359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,New Jersey,37
24,30,22,17,36,66,34,59,27,40,16,70,12,6,10,423,8,13,11,924,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,15,Male,No,new york,36
32,42,20,13,18,18,17,49,46,19,21,66,13,8,10,19,13,8,6,438,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,15,Male,No,Indiana,51
22,65,23,12,21,46,23,49,15,46,33,93,31,6,16,19,11,26,9,566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,Florida,32
34,40,21,39,12,41,69,31,70,34,66,48,28,31,78,15,16,45,12,730,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,11,Female,Yes,"KY, USA",29
68,28,25,8,15,51,59,31,73,36,61,50,37,26,73,16,15,45,19,736,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,12,Male,Yes,"VA, USA",34
22,25,14,23,15,48,17,42,14,23,13,86,9,4,9,16,6,8,5,399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,"Utah, USA",29
15,21,9,8,9,31,9,41,10,27,8,28,13,11,8,10,7,14,7,286,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,Virginia,22
17,14,7,8,10,23,11,15,13,10,7,25,8,6,15,7,5,9,5,215,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Oregon,29
